date,price,change
jan/13,5708.32,3.29%
feb/13,5784.94,1.34%
Mar 2013,5575.84,-3.61%
apr/13,5375.04,-3.60%
May 2013,5468.66,1.74%
jun/13,5817.69,6.38%
jul/13,6292.38,8.16%
aug/13,6836.67,8.65%
sep/13,6926.83,1.32%
Oct 2013,6497.77,-6.19%
nov/13,6435.78,-0.95%
dec/13,6534.28,1.53%
jan/14,6344.0,-2.91%
feb/14,6529.28,2.92%
Mar 2014,6343.0,-2.85%
apr/14,6329.6,-0.21%
May 2014,6273.13,-0.89%
jun/14,6471.05,3.16%
jul/14,6320.51,-2.33%
aug/14,6092.56,-3.61%
sep/14,5835.69,-4.22%
Oct 2014,5280.84,-9.51%
nov/14,4748.53,-10.08%
dec/14,3806.55,-19.84%
jan/15,2927.2,-23.10%
feb/15,3398.51,16.10%
Mar 2015,3299.23,-2.92%
apr/15,3611.03,9.45%
May 2015,3988.78,10.46%
jun/15,3915.3,-1.84%
jul/15,3458.51,-11.67%
aug/15,2973.16,-14.03%
sep/15,3064.43,3.07%
Oct 2015,3055.95,-0.28%
nov/15,2847.43,-6.82%
dec/15,2435.4,-14.47%
jan/16,2004.0,-17.71%
feb/16,2117.58,5.67%
Mar 2016,2503.95,18.25%
apr/16,2708.63,8.17%
May 2016,3072.75,13.44%
jun/16,3208.66,4.42%
jul/16,2966.28,-7.55%
aug/16,3004.16,1.28%
sep/16,3006.05,0.06%
Oct 2016,3290.46,9.46%
nov/16,3056.29,-7.12%
dec/16,3572.84,16.90%
jan/17,3649.89,2.16%
feb/17,3647.03,-0.08%
Mar 2017,3355.09,-8.00%
apr/17,3365.04,0.30%
May 2017,3213.83,-4.49%
jun/17,2975.01,-7.43%
jul/17,3071.23,3.23%
aug/17,3194.46,4.01%
sep/17,3413.19,6.85%
Oct 2017,3574.53,4.73%
nov/17,3887.81,8.76%
dec/17,3930.99,1.11%
