date,store_nbr,transactions,month_day
2017-08-16,25,770,08-16
2017-08-16,1,2111,08-16
2017-08-16,2,2358,08-16
2017-08-16,3,3487,08-16
2017-08-16,4,1922,08-16
2017-08-16,5,1903,08-16
2017-08-16,6,2143,08-16
2017-08-16,7,1874,08-16
2017-08-16,8,3250,08-16
2017-08-16,9,2940,08-16
2017-08-16,10,1293,08-16
2017-08-16,11,3547,08-16
2017-08-16,12,1362,08-16
2017-08-16,13,1102,08-16
2017-08-16,14,2002,08-16
2017-08-16,15,1622,08-16
2017-08-16,16,1167,08-16
2017-08-16,17,1580,08-16
2017-08-16,18,1635,08-16
2017-08-16,19,1369,08-16
2017-08-16,23,1381,08-16
2017-08-16,24,2605,08-16
2017-08-16,25,1038,08-16
2017-08-16,26,1008,08-16
2017-08-16,27,1386,08-16
2017-08-16,28,950,08-16
2017-08-16,30,708,08-16
2017-08-16,31,1401,08-16
2017-08-16,32,776,08-16
2017-08-16,33,1163,08-16
2017-08-16,34,2724,08-16
2017-08-16,35,786,08-16
2017-08-16,37,1691,08-16
2017-08-16,38,1987,08-16
2017-08-16,39,1587,08-16
2017-08-16,40,1178,08-16
2017-08-16,41,915,08-16
2017-08-16,43,1385,08-16
2017-08-16,44,4821,08-16
2017-08-16,45,4208,08-16
2017-08-16,46,4886,08-16
2017-08-16,47,4161,08-16
2017-08-16,48,3397,08-16
2017-08-16,49,2346,08-16
2017-08-16,50,3077,08-16
2017-08-16,51,1985,08-16
2017-08-16,54,998,08-16
2017-08-16,1,1833,08-16
2017-08-16,2,2033,08-16
2017-08-16,3,3026,08-16
2017-08-16,4,1551,08-16
2017-08-16,5,1740,08-16
2017-08-16,6,1795,08-16
2017-08-16,7,1568,08-16
2017-08-16,8,2904,08-16
2017-08-16,9,2396,08-16
2017-08-16,10,1157,08-16
2017-08-16,11,2675,08-16
2017-08-16,12,1248,08-16
2017-08-16,13,916,08-16
2017-08-16,14,1823,08-16
2017-08-16,15,1512,08-16
2017-08-16,16,1101,08-16
2017-08-16,17,1339,08-16
2017-08-16,18,1484,08-16
2017-08-16,19,1098,08-16
2017-08-16,23,1181,08-16
2017-08-16,24,2462,08-16
2017-08-16,25,887,08-16
2017-08-16,26,813,08-16
2017-08-16,27,928,08-16
2017-08-16,28,749,08-16
2017-08-16,30,689,08-16
2017-08-16,31,1126,08-16
2017-08-16,32,727,08-16
2017-08-16,33,1168,08-16
2017-08-16,34,2348,08-16
2017-08-16,35,725,08-16
2017-08-16,37,1526,08-16
2017-08-16,38,1746,08-16
2017-08-16,39,1426,08-16
2017-08-16,40,1171,08-16
2017-08-16,41,809,08-16
2017-08-16,43,1334,08-16
2017-08-16,44,3618,08-16
2017-08-16,45,3314,08-16
2017-08-16,46,3438,08-16
2017-08-16,47,3660,08-16
2017-08-16,48,2887,08-16
2017-08-16,49,1702,08-16
2017-08-16,50,2307,08-16
2017-08-16,51,1644,08-16
2017-08-16,54,920,08-16
2017-08-16,1,1863,08-16
2017-08-16,2,2066,08-16
2017-08-16,3,3188,08-16
2017-08-16,4,1596,08-16
2017-08-16,5,1642,08-16
2017-08-16,6,1679,08-16
2017-08-16,7,1513,08-16
2017-08-16,8,2962,08-16
2017-08-16,9,1975,08-16
2017-08-16,10,970,08-16
2017-08-16,11,2515,08-16
2017-08-16,12,1064,08-16
2017-08-16,13,879,08-16
2017-08-16,14,1641,08-16
2017-08-16,15,1318,08-16
2017-08-16,16,977,08-16
2017-08-16,17,1139,08-16
2017-08-16,18,1238,08-16
2017-08-16,19,1003,08-16
2017-08-16,23,1257,08-16
2017-08-16,24,2607,08-16
2017-08-16,25,1054,08-16
2017-08-16,26,813,08-16
2017-08-16,27,1034,08-16
2017-08-16,28,651,08-16
2017-08-16,30,689,08-16
2017-08-16,31,1246,08-16
2017-08-16,32,680,08-16
2017-08-16,33,948,08-16
2017-08-16,34,2369,08-16
2017-08-16,35,630,08-16
2017-08-16,37,1701,08-16
2017-08-16,38,1723,08-16
2017-08-16,39,1285,08-16
2017-08-16,40,1044,08-16
2017-08-16,41,835,08-16
2017-08-16,43,1358,08-16
2017-08-16,44,4169,08-16
2017-08-16,45,3630,08-16
2017-08-16,46,3434,08-16
2017-08-16,47,3915,08-16
2017-08-16,48,2900,08-16
2017-08-16,49,2016,08-16
2017-08-16,50,2698,08-16
2017-08-16,51,1786,08-16
2017-08-16,54,794,08-16
2017-08-16,1,1509,08-16
2017-08-16,2,2062,08-16
2017-08-16,3,3623,08-16
2017-08-16,4,1825,08-16
2017-08-16,5,1643,08-16
2017-08-16,6,2154,08-16
2017-08-16,7,1599,08-16
2017-08-16,8,3060,08-16
2017-08-16,9,2604,08-16
2017-08-16,10,1269,08-16
2017-08-16,11,3052,08-16
2017-08-16,12,1293,08-16
2017-08-16,13,1336,08-16
2017-08-16,14,2052,08-16
2017-08-16,15,1543,08-16
2017-08-16,16,1109,08-16
2017-08-16,17,1433,08-16
2017-08-16,18,1323,08-16
2017-08-16,19,1713,08-16
2017-08-16,23,1250,08-16
2017-08-16,24,2578,08-16
2017-08-16,25,1355,08-16
2017-08-16,26,1081,08-16
2017-08-16,27,1327,08-16
2017-08-16,28,1033,08-16
2017-08-16,30,749,08-16
2017-08-16,31,1317,08-16
2017-08-16,32,890,08-16
2017-08-16,33,1217,08-16
2017-08-16,34,2599,08-16
2017-08-16,35,723,08-16
2017-08-16,37,1770,08-16
2017-08-16,38,2214,08-16
2017-08-16,39,1851,08-16
2017-08-16,40,1118,08-16
2017-08-16,41,1021,08-16
2017-08-16,43,1205,08-16
2017-08-16,44,4921,08-16
2017-08-16,45,4331,08-16
2017-08-16,46,4935,08-16
2017-08-16,47,4764,08-16
2017-08-16,48,4084,08-16
2017-08-16,49,2562,08-16
2017-08-16,50,3459,08-16
2017-08-16,51,2068,08-16
2017-08-16,54,949,08-16
2017-08-16,1,520,08-16
2017-08-16,2,1992,08-16
2017-08-16,3,3590,08-16
2017-08-16,4,1891,08-16
2017-08-16,5,1754,08-16
2017-08-16,6,2313,08-16
2017-08-16,7,1431,08-16
2017-08-16,8,2748,08-16
2017-08-16,9,2635,08-16
2017-08-16,10,1173,08-16
2017-08-16,11,3188,08-16
2017-08-16,12,1271,08-16
2017-08-16,13,1008,08-16
2017-08-16,14,1313,08-16
2017-08-16,15,1149,08-16
2017-08-16,16,1323,08-16
2017-08-16,17,1383,08-16
2017-08-16,18,1405,08-16
2017-08-16,19,1157,08-16
2017-08-16,23,1100,08-16
2017-08-16,24,2061,08-16
2017-08-16,25,716,08-16
2017-08-16,26,1075,08-16
2017-08-16,27,1614,08-16
2017-08-16,28,1207,08-16
2017-08-16,30,667,08-16
2017-08-16,31,1468,08-16
2017-08-16,32,772,08-16
2017-08-16,33,1302,08-16
2017-08-16,34,2377,08-16
2017-08-16,35,651,08-16
2017-08-16,37,1282,08-16
2017-08-16,38,2522,08-16
2017-08-16,39,1571,08-16
2017-08-16,40,1023,08-16
2017-08-16,41,1142,08-16
2017-08-16,43,1194,08-16
2017-08-16,44,4925,08-16
2017-08-16,45,4418,08-16
2017-08-16,46,5401,08-16
2017-08-16,47,4935,08-16
2017-08-16,48,4591,08-16
2017-08-16,49,2795,08-16
2017-08-16,50,3297,08-16
2017-08-16,51,1934,08-16
2017-08-16,54,1180,08-16
2017-08-16,1,1807,08-16
2017-08-16,2,1911,08-16
2017-08-16,3,2996,08-16
2017-08-16,4,1514,08-16
2017-08-16,5,1577,08-16
2017-08-16,6,1713,08-16
2017-08-16,7,1705,08-16
2017-08-16,8,2768,08-16
2017-08-16,9,2162,08-16
2017-08-16,10,1148,08-16
2017-08-16,11,2361,08-16
2017-08-16,12,1113,08-16
2017-08-16,13,921,08-16
2017-08-16,14,1671,08-16
2017-08-16,15,1413,08-16
2017-08-16,16,1066,08-16
2017-08-16,17,1292,08-16
2017-08-16,18,1369,08-16
2017-08-16,19,1137,08-16
2017-08-16,23,1185,08-16
2017-08-16,24,2320,08-16
2017-08-16,25,703,08-16
2017-08-16,26,792,08-16
2017-08-16,27,1093,08-16
2017-08-16,28,775,08-16
2017-08-16,30,663,08-16
2017-08-16,31,1170,08-16
2017-08-16,32,699,08-16
2017-08-16,33,1078,08-16
2017-08-16,34,2224,08-16
2017-08-16,35,568,08-16
2017-08-16,37,1450,08-16
2017-08-16,38,1549,08-16
2017-08-16,39,1356,08-16
2017-08-16,40,1148,08-16
2017-08-16,41,744,08-16
2017-08-16,43,1137,08-16
2017-08-16,44,3871,08-16
2017-08-16,45,3339,08-16
2017-08-16,46,3205,08-16
2017-08-16,47,3570,08-16
2017-08-16,48,2697,08-16
2017-08-16,49,1719,08-16
2017-08-16,50,2371,08-16
2017-08-16,51,1637,08-16
2017-08-16,54,890,08-16
2017-08-16,1,1869,08-16
2017-08-16,2,1856,08-16
2017-08-16,3,2826,08-16
2017-08-16,4,1397,08-16
2017-08-16,5,1504,08-16
2017-08-16,6,1555,08-16
2017-08-16,7,1524,08-16
2017-08-16,8,2639,08-16
2017-08-16,9,2206,08-16
2017-08-16,10,1100,08-16
2017-08-16,11,2388,08-16
2017-08-16,12,1130,08-16
2017-08-16,13,879,08-16
2017-08-16,14,1673,08-16
2017-08-16,15,1330,08-16
2017-08-16,16,1009,08-16
2017-08-16,17,1197,08-16
2017-08-16,18,1388,08-16
2017-08-16,19,1013,08-16
2017-08-16,23,1143,08-16
2017-08-16,24,2349,08-16
2017-08-16,25,626,08-16
2017-08-16,26,729,08-16
2017-08-16,27,999,08-16
2017-08-16,28,877,08-16
2017-08-16,30,701,08-16
2017-08-16,31,1200,08-16
2017-08-16,32,641,08-16
2017-08-16,33,1164,08-16
2017-08-16,34,2272,08-16
2017-08-16,35,555,08-16
2017-08-16,37,1366,08-16
2017-08-16,38,1331,08-16
2017-08-16,39,1417,08-16
2017-08-16,40,1090,08-16
2017-08-16,41,764,08-16
2017-08-16,43,1155,08-16
2017-08-16,44,3593,08-16
2017-08-16,45,3102,08-16
2017-08-16,46,3061,08-16
2017-08-16,47,3185,08-16
2017-08-16,48,2320,08-16
2017-08-16,49,1609,08-16
2017-08-16,50,2251,08-16
2017-08-16,51,1613,08-16
2017-08-16,54,729,08-16
2017-08-16,1,1910,08-16
2017-08-16,2,1975,08-16
2017-08-16,3,2932,08-16
2017-08-16,4,1533,08-16
2017-08-16,5,1513,08-16
2017-08-16,6,1702,08-16
2017-08-16,7,1525,08-16
2017-08-16,8,2802,08-16
2017-08-16,9,1976,08-16
2017-08-16,10,930,08-16
2017-08-16,11,2230,08-16
2017-08-16,12,1108,08-16
2017-08-16,13,831,08-16
2017-08-16,14,1591,08-16
2017-08-16,15,1276,08-16
2017-08-16,16,923,08-16
2017-08-16,17,1110,08-16
2017-08-16,18,1206,08-16
2017-08-16,19,960,08-16
2017-08-16,23,1127,08-16
2017-08-16,24,2354,08-16
2017-08-16,25,755,08-16
2017-08-16,26,738,08-16
2017-08-16,27,1033,08-16
2017-08-16,28,645,08-16
2017-08-16,30,627,08-16
2017-08-16,31,1007,08-16
2017-08-16,32,591,08-16
2017-08-16,33,976,08-16
2017-08-16,34,2101,08-16
2017-08-16,35,539,08-16
2017-08-16,37,1544,08-16
2017-08-16,38,1525,08-16
2017-08-16,39,1219,08-16
2017-08-16,40,939,08-16
2017-08-16,41,749,08-16
2017-08-16,43,1000,08-16
2017-08-16,44,4006,08-16
2017-08-16,45,3268,08-16
2017-08-16,46,2989,08-16
2017-08-16,47,3370,08-16
2017-08-16,48,2316,08-16
2017-08-16,49,1776,08-16
2017-08-16,50,2228,08-16
2017-08-16,51,1786,08-16
2017-08-16,54,730,08-16
2017-08-16,1,1679,08-16
2017-08-16,2,1761,08-16
2017-08-16,3,2649,08-16
2017-08-16,4,1326,08-16
2017-08-16,5,1449,08-16
2017-08-16,6,1422,08-16
2017-08-16,7,1487,08-16
2017-08-16,8,2545,08-16
2017-08-16,9,1942,08-16
2017-08-16,10,925,08-16
2017-08-16,11,2274,08-16
2017-08-16,12,1121,08-16
2017-08-16,13,877,08-16
2017-08-16,14,1423,08-16
2017-08-16,15,1317,08-16
2017-08-16,16,889,08-16
2017-08-16,17,1141,08-16
2017-08-16,18,1219,08-16
2017-08-16,19,960,08-16
2017-08-16,23,1024,08-16
2017-08-16,24,2226,08-16
2017-08-16,25,632,08-16
2017-08-16,26,710,08-16
2017-08-16,27,900,08-16
2017-08-16,28,700,08-16
2017-08-16,30,693,08-16
2017-08-16,31,1001,08-16
2017-08-16,32,603,08-16
2017-08-16,33,868,08-16
2017-08-16,34,2079,08-16
2017-08-16,35,553,08-16
2017-08-16,37,1323,08-16
2017-08-16,38,1323,08-16
2017-08-16,39,1209,08-16
2017-08-16,40,944,08-16
2017-08-16,41,649,08-16
2017-08-16,43,967,08-16
2017-08-16,44,3323,08-16
2017-08-16,45,2697,08-16
2017-08-16,46,2627,08-16
2017-08-16,47,2982,08-16
2017-08-16,48,2212,08-16
2017-08-16,49,1481,08-16
2017-08-16,50,2052,08-16
2017-08-16,51,1515,08-16
2017-08-16,54,684,08-16
2017-08-16,1,1813,08-16
2017-08-16,2,1786,08-16
2017-08-16,3,2954,08-16
2017-08-16,4,1398,08-16
2017-08-16,5,1446,08-16
2017-08-16,6,1563,08-16
2017-08-16,7,1497,08-16
2017-08-16,8,2858,08-16
2017-08-16,9,1750,08-16
2017-08-16,10,877,08-16
2017-08-16,11,2053,08-16
2017-08-16,12,1072,08-16
2017-08-16,13,825,08-16
2017-08-16,14,1412,08-16
2017-08-16,15,1168,08-16
2017-08-16,16,912,08-16
2017-08-16,17,986,08-16
2017-08-16,18,1221,08-16
2017-08-16,19,999,08-16
2017-08-16,23,1046,08-16
2017-08-16,24,2350,08-16
2017-08-16,25,979,08-16
2017-08-16,26,725,08-16
2017-08-16,27,856,08-16
2017-08-16,28,618,08-16
2017-08-16,30,623,08-16
2017-08-16,31,1011,08-16
2017-08-16,32,641,08-16
2017-08-16,33,893,08-16
2017-08-16,34,2407,08-16
2017-08-16,35,538,08-16
2017-08-16,37,1447,08-16
2017-08-16,38,1557,08-16
2017-08-16,39,1163,08-16
2017-08-16,40,970,08-16
2017-08-16,41,686,08-16
2017-08-16,43,1264,08-16
2017-08-16,44,3873,08-16
2017-08-16,45,3083,08-16
2017-08-16,46,2892,08-16
2017-08-16,47,3312,08-16
2017-08-16,48,2396,08-16
2017-08-16,49,1768,08-16
2017-08-16,50,2226,08-16
2017-08-16,51,1658,08-16
2017-08-16,54,766,08-16
2017-08-16,1,1473,08-16
2017-08-16,2,1998,08-16
2017-08-16,3,3407,08-16
2017-08-16,4,1543,08-16
2017-08-16,5,1553,08-16
